RunId,iteration,Step,height,width,hex,init0,init1,init2,inv0,inv1,inv2,increase_rate,color_map,0,1,2,$n_r$,$n_s$,$n_p$
0,0,26,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",119384,127377,3239,0.477536,0.509508,0.012956
0,0,27,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",121449,125587,2964,0.485796,0.502348,0.011856
0,0,28,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",123698,123632,2670,0.494792,0.494528,0.01068
0,0,29,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",125728,121834,2438,0.502912,0.487336,0.009752
0,0,30,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",127882,119867,2251,0.511528,0.479468,0.009004
0,0,31,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",130026,117891,2083,0.520104,0.471564,0.008332
0,0,32,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",132215,115865,1920,0.52886,0.46346,0.00768
0,0,33,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",134429,113808,1763,0.537716,0.455232,0.007052
0,0,34,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",136685,111693,1622,0.54674,0.446772,0.006488
0,0,35,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",138872,109625,1503,0.555488,0.4385,0.006012
0,0,36,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",141140,107424,1436,0.56456,0.429696,0.005744
0,0,37,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",143313,105345,1342,0.573252,0.42138,0.005368
0,0,38,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",145493,103247,1260,0.581972,0.412988,0.00504
0,0,39,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",147587,101234,1179,0.590348,0.404936,0.004716
0,0,40,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",149766,99133,1101,0.599064,0.396532,0.004404
0,0,41,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",151948,97018,1034,0.607792,0.388072,0.004136
0,0,42,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",154126,94878,996,0.616504,0.379512,0.003984
0,0,43,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",156317,92728,955,0.625268,0.370912,0.00382
0,0,44,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",158472,90633,895,0.633888,0.362532,0.00358
0,0,45,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",160614,88522,864,0.642456,0.354088,0.003456
0,0,46,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",162668,86480,852,0.650672,0.34592,0.003408
0,0,47,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",164714,84449,837,0.658856,0.337796,0.003348
0,0,48,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",166811,82384,805,0.667244,0.329536,0.00322
0,0,49,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",168870,80367,763,0.67548,0.321468,0.003052
0,0,50,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",170808,78429,763,0.683232,0.313716,0.003052
0,0,51,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",172773,76479,748,0.691092,0.305916,0.002992
0,0,52,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",174674,74586,740,0.698696,0.298344,0.00296
0,0,53,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",176543,72720,737,0.706172,0.29088,0.002948
0,0,54,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",178388,70902,710,0.713552,0.283608,0.00284
0,0,55,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",180237,69067,696,0.720948,0.276268,0.002784
0,0,56,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",182054,67294,652,0.728216,0.269176,0.002608
0,0,57,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",183799,65552,649,0.735196,0.262208,0.002596
0,0,58,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",185556,63811,633,0.742224,0.255244,0.002532
0,0,59,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",187260,62120,620,0.74904,0.24848,0.00248
0,0,60,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",188942,60437,621,0.755768,0.241748,0.002484
0,0,61,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",190619,58770,611,0.762476,0.23508,0.002444
0,0,62,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",192207,57193,600,0.768828,0.228772,0.0024
0,0,63,500,500,False,0.6211180124223603,0.3726708074534162,0.24844720496894412,0.05,0.5,0.3,True,"{0: 'red', 1: 'purple', 2: 'yellow'}",193782,55630,588,0.775128,0.22252,0.002352
